Scientific name,Extinction date 
Celeus obrieni,2019
Streptoprocne phelpsi,2019
Xanthomixis apperti,2019
Asthenes ayacuchensis,2019
Asthenes vilcabambae,2019
Locustella amnicola,2019
Setophaga angelae,2019
Conirostrum tamarugense,2019
Pauxi koepckeae,2019
Synallaxis courseni,2019
Alectroenas nitidissimus,1835
Columba jouyi,1936
Tanysiptera ellioti,2019
Melaenornis annamarulae,2019
Muscicapa randi,2019
Cinclodes pabsti,2019
Grallaria eludens,2019
Agelasticus xanthophthalmus,2019
Amytornis ballarae,2019
Hypsipetes catarmanensis,2019
Micromacronus sordidus,2019
Eurochelidon sirintarae,2019
Amytornis barbatus,2019
Picumnus subtilis,2019
Otus mirus,2019
Eriocnemis mirabilis,2019
Zapornia palmeri,1944
Acrocephalus musae,1896
Cisticola restrictus,2019
Robsonius sorsogonensis,2019
Cyornis camarinensis,2019
Ficedula disposita,2019
Chlorocichla prigoginei,2019
Gerygone insularis,1932
Conioptilon mcilhennyi,2019
Dicaeum proprium,2019
Otus ireneae,2019
Apus berliozi,2019
Cacicus koepckeae,2019
Pomarea fluxa,1982
Cinnyris gertrudis,2019
Pogoniulus makawai,2019
Cyanoramphus zealandicus,1844
Amazilia wagneri,2019
Eupherusa cyanophrys,2019
Cathartes melambrotus,2019
Acrocephalus nijoi,1995
Zaratornis stresemanni,2019
Myiagra cervinicolor,2019
Symposiachrus ateralbus,2019
Pomatostomus halli,2019
Wetmorethraupis sterrhopteron,2019
Pterodroma baraui,2019
Cypseloides lemosi,2019
Odontophorus dialeucos,2019
Podilymbus gigas,1985
Aerodramus nuditarsus,2019
Columba versicolor,1889
Micromacronus leytensis,2019
Contopus albogularis,2019
Picumnus fulvescens,2019
Erythrura coloria,2019
Chrysocorythus mindanensis,2019
Spizixos semitorques,2019
Zosterornis hypogrammicus,2019
Caprimulgus centralasicus,2019
Treron griveaudi,2019
Nesillas mariae,2019
Crithagra citrinipectus,2019
Megalurulus grosvenori,2019
Robsonius rabori,2019
Vosea whitemanensis,2019
Pomarea mira,1987
Hypsipetes moheliensis,2019
Merulaxis stresemanni,2019
Otus mayottensis,2019
Otus pauliani,2019
Lewinia mirifica,2019
Pseudasthenes cactorum,2019
Symposiachrus julianae,2019
Lepidothrix vilasboasi,2019
Poecilotriccus albifacies,2019
Puffinus myrtae,2019
Cyanoramphus erythrotis,1892
