species,description_year,extinction_year
Erythrura.trichroa,1835,NA
Esacus.giganteus,1829,NA
Eudynamys.orientalis,1801,NA
Eudynamys.scolopaceus,1758,NA
Eudyptes.pachyrhynchus,1845,NA
Eudyptes.robustus,1953,NA
Eulabeornis.castaneoventris,1844,NA
Eurostopodus.argus,1892,NA
Eurostopodus.mystacalis,1826,NA
Eurostopodus.mystacalis,1826,NA
Eurystomus.orientalis,1766,NA
Falco.berigora,1827,NA
Falco.cenchroides,1827,NA
Falco.hypoleucos,1841,NA
Falco.longipennis,1837,NA
Falco.peregrinus,1771,NA
Falco.peregrinus,1771,NA
Falco.subniger,1843,NA
Falcunculus.frontatus,1801,NA
Fregata.ariel,1845,NA
Fregata.minor,1789,NA
Fregetta.grallaria,1817,NA
Fregetta.grallaria,1817,NA
Fregetta.tropica,1844,NA
Fregetta.tropica,1844,NA
Fulica.atra,1758,NA
Fulmarus.glacialoides,1840,NA
Gallinago.hardwickii,1831,NA
Gallinago.megala,1861,NA
Gallinula.mortierii,1840,NA
Gallinula.tenebrosa,1846,NA
Gallinula.ventralis,1837,NA
Gallirallus.philippensis,1766,NA
Gallus.gallus,1758,NA
Garrodia.nereis,1841,NA
Garrodia.nereis,1841,NA
Geoffroyus.geoffroyi,1811,NA
Geopelia.cuneata,1801,NA
Geopelia.humeralis,1821,NA
Geopelia.placida,1844,NA
Geophaps.plumifera,1842,NA
Geophaps.scripta,1821,NA
Geophaps.smithii,1830,NA
Gerygone.chloronota,1843,NA
Gerygone.fusca,1838,NA
Gerygone.levigaster,1843,NA
Gerygone.mouki,1903,NA
Gerygone.olivacea,1838,NA
Gerygone.palpebrosa,1865,NA
Gerygone.tenebrosa,1901,NA
Glareola.maldivarum,1795,NA
Glossopsitta.concinna,1791,NA
Glossopsitta.porphyrocephala,1837,NA
Glossopsitta.porphyrocephala,1837,NA
Glossopsitta.pusilla,1790,NA
Glycichaera.fallax,1878,NA
Grallina.cyanoleuca,1801,NA
Grantiella.picta,1838,NA
Grus.antigone,1758,NA
Grus.rubicunda,1810,NA
Gymnorhina.tibicen,1801,NA
Haematopus.finschi,1897,NA
Haematopus.fuliginosus,1845,NA
Haematopus.longirostris,1817,NA
Haliaeetus.leucogaster,1788,NA
Haliastur.indus,1783,NA
Haliastur.sphenurus,1818,NA
Halobaena.caerulea,1789,NA
Hamirostra.melanosternon,1841,NA
Heteromunia.pectoralis,1841,NA
Heteroscelus.brevipes,1816,NA
Hieraaetus.morphnoides,1841,NA
Himantopus.leucocephalus,1837,NA
Hirundapus.caudacutus,1802,NA
Hirundo.ariel,1843,NA
Hirundo.daurica,1771,NA
Hirundo.neoxena,1843,NA
Hirundo.neoxena,1843,NA
Hirundo.nigricans,1817,NA
Hirundo.nigricans,1817,NA
Hirundo.rustica,1758,NA
Hylacola.cauta,1843,NA
Hylacola.pyrrhopygia,1827,NA
Irediparra.gallinacea,1828,NA
Ixobrychus.flavicollis,1790,NA
Ixobrychus.minutus,1766,NA
Lalage.leucomela,1827,NA
Lalage.tricolor,1825,NA
Larus.atricilla,1758,NA
Larus.dominicanus,1823,NA
Larus.novaehollandiae,1826,NA
Larus.novaehollandiae,1826,NA
Larus.pacificus,1801,NA
Larus.pacificus,1801,NA
Lathamus.discolor,1790,NA
Leipoa.ocellata,1840,NA
Leucosarcia.melanoleuca,1801,NA
Lewinia.pectoralis,1831,NA
Lewinia.pectoralis,1831,NA
Lichenostomus.chrysops,1801,NA
Lichenostomus.cratitius,1841,NA
Lichenostomus.fasciogularis,1854,NA
Lichenostomus.flavescens,1840,NA
Lichenostomus.flavicollis,1817,NA
Lichenostomus.flavus,1843,NA
Lichenostomus.frenatus,1875,NA
Lichenostomus.fuscus,1837,NA
Lichenostomus.hindwoodi,1983,NA
Lichenostomus.keartlandi,1895,NA
Lichenostomus.leucotis,1801,NA
Lichenostomus.melanops,1801,NA
Lichenostomus.ornatus,1838,NA
Lichenostomus.penicillatus,1837,NA
Lichenostomus.plumulus,1841,NA
Lichenostomus.unicolor,1843,NA
Lichenostomus.versicolor,1843,NA
Lichenostomus.virescens,1817,NA
Lichmera.indistincta,1827,NA
Limicola.falcinellus,1763,NA
Limnodromus.griseus,1789,NA
Limnodromus.semipalmatus,1848,NA
Limosa.haemastica,1758,NA
Limosa.lapponica,1758,NA
Limosa.limosa,1758,NA
Lonchura.castaneothorax,1837,NA
Lonchura.flaviprymna,1845,NA
Lonchura.punctulata,1758,NA
Lophoictinia.isura,1838,NA
Lopholaimus.antarcticus,1794,NA
Lugensa.brevirostris,1831,NA
Machaerirhynchus.flaviventer,1851,NA
Macronectes.giganteus,1789,NA
Macronectes.halli,1912,NA
Macropygia.amboinensis,1766,NA
Malacorhynchus.membranaceus,1801,NA
Malurus.amabilis,1852,NA
Malurus.coronatus,1858,NA
Malurus.cyaneus,1783,NA
Malurus.elegans,1837,NA
Malurus.lamberti,1827,NA
Malurus.leucopterus,1824,NA
Malurus.melanocephalus,1801,NA
Malurus.pulcherrimus,1844,NA
Malurus.splendens,1830,NA
Manorina.flavigula,1840,NA
Manorina.melanocephala,1801,NA
Manorina.melanophrys,1801,NA
Manorina.melanotis,1911,NA
Manucodia.keraudrenii,1826,NA
Megalurus.gramineus,1845,NA
Megalurus.timoriensis,1864,NA
Megapodius.reinwardt,1823,NA
Melanodryas.cucullata,1801,NA
Melanodryas.vittata,1830,NA
Meleagris.gallopavo,1758,NA
Meliphaga.albilineata,1917,NA
Meliphaga.gracilis,1866,NA
Meliphaga.lewinii,1837,NA
Meliphaga.notata,1867,NA
Melithreptus.affinis,1839,NA
Melithreptus.albogularis,1848,NA
Melithreptus.brevirostris,1827,NA
Melithreptus.gularis,1837,NA
Melithreptus.lunatus,1802,NA
Melithreptus.validirostris,1837,NA
Melopsittacus.undulatus,1805,NA
Menura.alberti,1850,NA
Menura.novaehollandiae,1801,NA
Merops.ornatus,1801,NA
Merops.ornatus,1801,NA
Mesophoyx.intermedia,1829,NA
Microeca.fascinans,1801,NA
Microeca.flavigaster,1843,NA
Microeca.griseoceps,1894,NA
Milvus.migrans,1783,NA
Mirafra.javanica,1821,NA
Monarcha.frater,1874,NA
Monarcha.leucotis,1851,NA
Monarcha.melanopsis,1818,NA
Monarcha.trivirgatus,1826,NA
Monarcha.trivirgatus,1826,NA
Morus.serrator,1843,NA
Morus.serrator,1843,NA
Motacilla.alba,1758,NA
Motacilla.flava,1758,NA
Myiagra.alecto,1827,NA
Myiagra.cyanoleuca,1818,NA
Myiagra.inquieta,1801,NA
Myiagra.rubecula,1801,NA
Myiagra.ruficollis,1818,NA
Myzomela.erythrocephala,1840,NA
Myzomela.obscura,1843,NA
Myzomela.sanguinolenta,1801,NA
Nectarinia.jugularis,1766,NA
Neochmia.modesta,1837,NA
Neochmia.phaeton,1841,NA
Neochmia.ruficauda,1837,NA
Neochmia.temporalis,1801,NA
Neochmia.temporalis,1801,NA
Neophema.chrysogaster,1790,NA
Neophema.chrysostoma,1820,NA
Neophema.elegans,1837,NA
Neophema.petrophila,1841,NA
Neophema.pulchella,1792,NA
Neophema.splendida,1841,NA
Neopsephotus.bourkii,1841,NA
Nettapus.coromandelianus,1789,NA
Nettapus.pulchellus,1842,NA
Ninox.connivens,1801,NA
Ninox.novaeseelandiae,1788,NA
Ninox.rufa,1846,NA
Ninox.strenua,1838,NA
Northiella.haematogaster,1838,NA
Numenius.madagascariensis,1766,NA
Numenius.minutus,1841,NA
Numenius.phaeopus,1758,NA
Numida.meleagris,1758,NA
Nycticorax.caledonicus,1789,NA
Nymphicus.hollandicus,1792,NA
Oceanites.oceanicus,1820,NA
Ocyphaps.lophotes,1822,NA
Oreoica.gutturalis,1827,NA
Oreoscopus.gutturalis,1889,NA
Origma.solitaria,1808,NA
Oriolus.flavocinctus,1826,NA
Oriolus.sagittatus,1801,NA
Orthonyx.spaldingii,1868,NA
Orthonyx.temminckii,1822,NA
Oxyura.australis,1836,NA
Rallina.tricolor,1858,NA
Ramsayornis.fasciatus,1843,NA
Ramsayornis.modestus,1858,NA
Recurvirostra.novaehollandiae,1816,NA
Recurvirostra.novaehollandiae,1816,NA
Rhipidura.fuliginosa,1787,NA
Rhipidura.fuliginosa,1787,NA
Rhipidura.leucophrys,1801,NA
Rhipidura.phasiana,1884,NA
Rhipidura.rufifrons,1801,NA
Rhipidura.rufiventris,1818,NA
Rostratula.australis,1838,NA
Scenopoeetes.dentirostris,1876,NA
Scythrops.novaehollandiae,1790,NA
Scythrops.novaehollandiae,1790,NA
Sericornis.beccarii,1874,NA
Sericornis.citreogularis,1838,NA
Sericornis.frontalis,1827,NA
Sericornis.humilis,1838,NA
Sericornis.keri,1920,NA
Sericornis.magnirostra,1838,NA
Sericulus.chrysocephalus,1808,NA
Smicrornis.brevirostris,1838,NA
Sphecotheres.vieilloti,1827,NA
Stagonopleura.bella,1801,NA
Stagonopleura.guttata,1796,NA
Stagonopleura.oculata,1830,NA
Steganopus.tricolor,1819,NA
Stercorarius.longicaudus,1819,NA
Stercorarius.parasiticus,1758,NA
Stercorarius.pomarinus,1815,NA
Sterna.albifrons,1764,NA
Sterna.albifrons,1764,NA
Sterna.anaethetus,1786,NA
Sterna.bengalensis,1831,NA
Sterna.bengalensis,1831,NA
Sterna.bergii,1823,NA
Sterna.caspia,1770,NA
Sterna.dougallii,1813,NA
Sterna.dougallii,1813,NA
Sterna.fuscata,1766,NA
Sterna.hirundo,1758,NA
Sterna.nereis,1843,NA
Sterna.nilotica,1789,NA
Sterna.nilotica,1789,NA
Sterna.paradisaea,1763,NA
Sterna.striata,1789,NA
Sterna.sumatrana,1822,NA
Sterna.sumatrana,1822,NA
Stictonetta.naevosa,1841,NA
Stigmatopelia.chinensis,1786,NA
Stigmatopelia.senegalensis,1766,NA
Stiltia.isabella,1816,NA
Stiltia.isabella,1816,NA
Stipiturus.malachurus,1798,NA
Stipiturus.mallee,1908,NA
Stipiturus.ruficeps,1899,NA
Strepera.fuliginosa,1837,NA
Strepera.graculina,1790,NA
Strepera.versicolor,1801,NA
Streptopelia.decaocto,1838,NA
Streptopelia.roseogrisea,1857,NA
Struthidea.cinerea,1837,NA
Struthio.camelus,1758,NA
Sturnus.vulgaris,1758,NA
Sula.sula,1766,NA
Syma.torotoro,1827,NA
Tachybaptus.novaehollandiae,1826,NA
Tachybaptus.novaehollandiae,1826,NA
Tachybaptus.ruficollis,1764,NA
Tadorna.radjah,1828,NA
Tadorna.tadornoides,1828,NA
Taeniopygia.bichenovii,1827,NA
Taeniopygia.guttata,1817,NA
Tanysiptera.sylvia,1850,NA
Thalassarche.bulleri,1893,NA
Thalassarche.carteri,1903,NA
Thalassarche.cauta,1841,NA
Thalassarche.cauta,1841,NA
Thalassarche.chrysostoma,1785,NA
Thalassarche.eremita,1930,NA
Thalassarche.impavida,1912,NA
Thalassarche.melanophrys,1828,NA
Thalassarche.salvini,1893,NA
Thalassarche.steadi,1933,NA
Thalassoica.antarctica,1789,NA
Thinornis.rubricollis,1789,NA
Threskiornis.molucca,1829,NA
Threskiornis.molucca,1829,NA
Threskiornis.spinicollis,1835,NA
Threskiornis.spinicollis,1835,NA
Threskiornis.spinicollis,1835,NA
Todiramphus.chloris,1783,NA
Todiramphus.macleayii,1830,NA
Todiramphus.pyrrhopygius,1841,NA
Todiramphus.sanctus,1827,NA
Todiramphus.sanctus,1827,NA
Tregellasia.capito,1852,NA
Trichodere.cockerelli,1869,NA
Trichoglossus.chlorolepidotus,1820,NA
Trichoglossus.haematodus,1771,NA
Trichoglossus.haematodus,1771,NA
Tringa.nebularia,1767,NA
Tringa.stagnatilis,1803,NA
Tringa.totanus,1758,NA
Turdus.merula,1758,NA
Turdus.philomelos,1831,NA
Turnix.castanotus,1840,NA
Turnix.maculosus,1815,NA
Turnix.melanogaster,1837,NA
Turnix.olivii,1900,NA
Turnix.pyrrhothorax,1841,NA
Turnix.varius,1801,NA
Turnix.velox,1841,NA
Tyto.alba,1769,NA
Tyto.longimembris,1839,NA
Tyto.novaehollandiae,1826,NA
Tyto.tenebricosa,1845,NA
Vanellus.miles,1783,NA
Vanellus.miles,1783,NA
Vanellus.tricolor,1818,NA
Xanthomyza.phrygia,1794,NA
Xanthotis.flaviventer,1828,NA
Xanthotis.macleayanus,1875,NA
Xenus.cinereus,1775,NA
Zoothera.heinei,1850,NA
Zoothera.lunulata,1801,NA
Zosterops.citrinella,1850,NA
Zosterops.lateralis,1801,NA
Zosterops.luteus,1843,NA
Psephotus.pulcherrimus,1845,1927
