species,description_year,extinction_year
Uromys.caudimaculatus,1867,NA
Uromys.hadrourus,1984,NA
Vespadelus.baverstocki,1987,NA
Vespadelus.caurinus,1914,NA
Vespadelus.darlingtoni,1933,NA
Vespadelus.douglasorum,1976,NA
Vespadelus.finlaysoni,1987,NA
Vespadelus.pumilus,1841,NA
Vespadelus.regulus,1906,NA
Vespadelus.troughtoni,1987,NA
Vespadelus.vulturnus,1914,NA
Vombatus.ursinus,1800,NA
Wallabia.bicolor,1804,NA
Wyulda.squamicaudata,1919,NA
Xeromys.myoides,1889,NA
Zyzomys.argurus,1889,NA
Zyzomys.maini,1989,NA
Zyzomys.palatalis,1989,NA
Zyzomys.pedunculatus,1896,NA
Zyzomys.woodwardi,1909,NA
