species,description_year,extinction_year
Amazona.farinosa,1783,NA
Amazona.festiva,1758,NA
Amazona.finschi,1864,NA
Amazona.kawalli,1989,NA
Amazona.mercenaria,1844,NA
Amazona.ochrocephala,1788,NA
Amazona.oratrix,1887,NA
Amazona.pretrei,1830,NA
Amazona.rhodocorytha,1890,NA
Amazona.tucumana,1885,NA
Amazona.vinacea,1820,NA
Amazona.viridigenalis,1853,NA
Amazona.xantholora,1859,NA
Amazonetta.brasiliensis,1789,NA
Amblycercus.holosericeus,1830,NA
Amblyospiza.albifrons,1831,NA
Amblyramphus.holosericeus,1786,NA
Ammodramus.aurifrons,1825,NA
Ammodramus.bairdii,1844,NA
Ammodramus.caudacutus,1788,NA
Ammodramus.henslowii,1829,NA
Ammodramus.humeralis,1792,NA
Ammodramus.leconteii,1843,NA
Ammodramus.maritimus,1811,NA
Ammodramus.nelsoni,1875,NA
Ammodramus.savannarum,1789,NA
Ammomanes.cinctura,1839,NA
Ammomanes.deserti,1823,NA
Ammomanes.grayi,1855,NA
Ammomanes.phoenicura,1831,NA
Ammoperdix.griseogularis,1843,NA
Ammoperdix.heyi,1825,NA
Ampeliceps.coronatus,1842,NA
Ampelioides.tschudii,1846,NA
Ampelion.rubrocristatus,1837,NA
Ampelion.rufaxilla,1844,NA
Amphispiza.belli,1850,NA
Amphispiza.bilineata,1850,NA
Amphispiza.quinquestriata,1868,NA
Anabacerthia.amaurotis,1823,NA
Anabacerthia.striaticollis,1840,NA
Anabacerthia.variegaticeps,1857,NA
Anabazenops.dorsalis,1880,NA
Anabazenops.fuscus,1816,NA
Anairetes.agilis,1856,NA
Anairetes.agraphia,1919,NA
Anairetes.alpinus,1933,NA
Anairetes.flavirostris,1876,NA
Anairetes.nigrocristatus,1884,NA
Anairetes.parulus,1830,NA
Anairetes.reguloides,1837,NA
Anaplectes.rubriceps,1850,NA
Anas.acuta,1758,NA
Anas.americana,1789,NA
Anas.andium,1873,NA
Anas.bahamensis,1758,NA
Anas.capensis,1789,NA
Anas.clypeata,1758,NA
Anas.crecca,1758,NA
Anas.cyanoptera,1816,NA
Anas.discors,1766,NA
Anas.erythrorhyncha,1789,NA
Anas.falcata,1775,NA
Anas.flavirostris,1816,NA
Anas.formosa,1775,NA
Anas.fulvigula,1874,NA
Anas.georgica,1789,NA
Anas.hottentota,1838,NA
Anas.penelope,1758,NA
Anas.platalea,1816,NA
Anas.platyrhynchos,1758,NA
Anas.poecilorhyncha,1781,NA
Anas.puna,1844,NA
Anas.querquedula,1758,NA
Anas.rubripes,1902,NA
Anas.sibilatrix,1829,NA
Anas.smithii,1891,NA
Anas.sparsa,1838,NA
Anas.strepera,1758,NA
Anas.undulata,1839,NA
Anas.versicolor,1816,NA
Anas.zonorhyncha,1866,NA
Anastomus.lamelligerus,1823,NA
Anastomus.oscitans,1783,NA
Ancistrops.strigilatus,1825,NA
Andigena.cucullata,1846,NA
Andigena.hypoglauca,1833,NA
Andigena.laminirostris,1851,NA
Andigena.nigrirostris,1839,NA
Androdon.aequatorialis,1863,NA
Andropadus.ansorgei,1907,NA
Andropadus.curvirostris,1860,NA
Andropadus.gracilirostris,1844,NA
Andropadus.gracilis,1880,NA
Andropadus.importunus,1818,NA
Andropadus.latirostris,1844,NA
Andropadus.masukuensis,1897,NA
Andropadus.milanjensis,1894,NA
Andropadus.montanus,1892,NA
Andropadus.nigriceps,1890,NA
Andropadus.tephrolaemus,1862,NA
Andropadus.virens,1858,NA
Anhima.cornuta,1766,NA
Anhinga.anhinga,1766,NA
Anhinga.melanogaster,1769,NA
Anhinga.rufa,1802,NA
Anisognathus.igniventris,1837,NA
Anisognathus.lacrymosus,1846,NA
Anisognathus.melanogenys,1880,NA
Anisognathus.notabilis,1855,NA
Anisognathus.somptuosus,1831,NA
Anodorhynchus.glaucus,1816,NA
Anodorhynchus.hyacinthinus,1790,NA
Anodorhynchus.leari,1856,NA
Anomalospiza.imberbis,1868,NA
Anopetia.gounellei,1891,NA
Anorrhinus.austeni,1872,NA
Anorrhinus.galeritus,1831,NA
Anorrhinus.tickelli,1855,NA
Anous.stolidus,1758,NA
Anous.tenuirostris,1823,NA
Anser.albifrons,1769,NA
Anser.anser,1758,NA
Anser.brachyrhynchus,1834,NA
Anser.cygnoides,1758,NA
Anser.erythropus,1758,NA
Anser.fabalis,1787,NA
Anser.indicus,1790,NA
Anthocephala.floriceps,1854,NA
Anthoscopus.caroli,1871,NA
Anthoscopus.flavifrons,1855,NA
Anthoscopus.minutus,1812,NA
Anthoscopus.musculus,1882,NA
Anthoscopus.parvulus,1864,NA
Anthoscopus.punctifrons,1850,NA
Anthracoceros.albirostris,1807,NA
Anthracoceros.coronatus,1783,NA
Anthracoceros.malayanus,1822,NA
Anthracothorax.nigricollis,1817,NA
Anthracothorax.prevostii,1832,NA
Anthracothorax.veraguensis,1855,NA
Anthracothorax.viridigula,1783,NA
Anthreptes.anchietae,1878,NA
Anthreptes.aurantium,1851,NA
Anthreptes.collaris,1819,NA
