species,description_year,extinction_year
Callicebus.melanochir,1820,NA
Callicebus.modestus,1939,NA
Callicebus.moloch,1807,NA
Callicebus.nigrifrons,1823,NA
Callicebus.oenanthe,1924,NA
Callicebus.olallae,1939,NA
Callicebus.ornatus,1866,NA
Callicebus.pallescens,1907,NA
Callicebus.personatus,1812,NA
Callicebus.purinus,1927,NA
Callicebus.regulus,1927,NA
Callicebus.stephennashi,2002,NA
Callicebus.torquatus,1807,NA
Callimico.goeldii,1904,NA
Callistomys.pictus,1841,NA
Callithrix.aurita,1812,NA
Callithrix.flaviceps,1903,NA
Callithrix.geoffroyi,1812,NA
Callithrix.jacchus,1758,NA
Callithrix.kuhlii,1985,NA
Callithrix.penicillata,1812,NA
Callorhinus.ursinus,1758,NA
Callosciurus.baluensis,1901,NA
Callosciurus.caniceps,1842,NA
Callosciurus.erythraeus,1779,NA
Callosciurus.finlaysonii,1823,NA
Callosciurus.inornatus,1867,NA
Callosciurus.nigrovittatus,1823,NA
Callosciurus.notatus,1785,NA
Callosciurus.phayrei,1856,NA
Callosciurus.prevostii,1822,NA
Callosciurus.pygerythrus,1832,NA
Callosciurus.quinquestriatus,1871,NA
Calomys.boliviae,1901,NA
Calomys.callidus,1916,NA
Calomys.callosus,1830,NA
Calomys.expulsus,1841,NA
Calomys.fecundus,1926,NA
Calomys.hummelincki,1960,NA
Calomys.laucha,1814,NA
Calomys.lepidus,1884,NA
Calomys.musculinus,1913,NA
Calomys.sorellus,1900,NA
Calomys.tener,1887,NA
Calomys.tocantinsi,2003,NA
Calomys.venustus,1894,NA
Calomyscus.bailwardi,1905,NA
Calomyscus.baluchi,1920,NA
Calomyscus.elburzensis,1938,NA
Calomyscus.grandis,1973,NA
Calomyscus.hotsoni,1920,NA
Calomyscus.mystax,1925,NA
Calomyscus.tsolovi,1991,NA
Calomyscus.urartensis,1979,NA
Caluromys.derbianus,1841,NA
Caluromys.lanatus,1818,NA
Caluromys.philander,1758,NA
Caluromysiops.irrupta,1951,NA
Calyptophractus.retusus,1863,NA
Camelus.ferus,1878,NA
Canis.adustus,1847,NA
Canis.aureus,1758,NA
Canis.latrans,1823,NA
Canis.lupus,1758,NA
Canis.mesomelas,1775,NA
Canis.rufus,1851,NA
Canis.simensis,1840,NA
Cannomys.badius,1841,NA
Cansumys.canus,1928,NA
Caperea.marginata,1846,NA
Capra.aegagrus,1777,NA
Capra.caucasica,1783,NA
Capra.cylindricornis,1841,NA
Capra.falconeri,1839,NA
Capra.ibex,1758,NA
Capra.nubiana,1825,NA
Capra.pyrenaica,1838,NA
Capra.sibirica,1776,NA
Capra.walie,1835,NA
Capreolus.capreolus,1758,NA
Capreolus.pygargus,1771,NA
Capricornis.crispus,1836,NA
Capricornis.milneedwardsii,1869,NA
Capricornis.rubidus,1863,NA
Capricornis.sumatraensis,1799,NA
Capricornis.swinhoei,1862,NA
Capricornis.thar,1831,NA
Caprolagus.hispidus,1839,NA
Capromys.pilorides,1822,NA
Caracal.aurata,1827,NA
Caracal.caracal,1776,NA
Cardiocranius.paradoxus,1903,NA
Cardioderma.cor,1872,NA
Carollia.brevicauda,1821,NA
Carollia.castanea,1890,NA
Carollia.manu,2004,NA
Carollia.perspicillata,1758,NA
Carollia.sowelli,2002,NA
Carollia.subrufa,1905,NA
Carpitalpa.arendsi,1955,NA
Carterodon.sulcidens,1841,NA
Caryomys.eva,1911,NA
Caryomys.inez,1908,NA
Casinycteris.argynnis,1910,NA
Castor.canadensis,1820,NA
Castor.fiber,1758,NA
Catagonus.wagneri,1930,NA
Cavia.aperea,1777,NA
Cavia.fulgida,1831,NA
Cavia.magna,1980,NA
Cavia.tschudii,1867,NA
Cebuella.pygmaea,1823,NA
Cebus.albifrons,1812,NA
Cebus.apella,1758,NA
Cebus.capucinus,1758,NA
Cebus.cay,1815,NA
Cebus.flavius,1774,NA
Cebus.kaapori,1992,NA
Cebus.libidinosus,1823,NA
Cebus.macrocephalus,1823,NA
Cebus.nigritus,1809,NA
Cebus.olivaceus,1848,NA
Cebus.robustus,1820,NA
Cebus.xanthosternos,1826,NA
Centronycteris.centralis,1912,NA
Centronycteris.maximiliani,1829,NA
Cephalophus.adersi,1918,NA
Cephalophus.callipygus,1876,NA
Cephalophus.dorsalis,1846,NA
Cephalophus.harveyi,1893,NA
Cephalophus.jentinki,1892,NA
Cephalophus.leucogaster,1873,NA
Cephalophus.natalensis,1834,NA
Cephalophus.niger,1846,NA
Cephalophus.nigrifrons,1871,NA
Cephalophus.ogilbyi,1838,NA
Cephalophus.rufilatus,1846,NA
Cephalophus.silvicultor,1815,NA
Cephalophus.spadix,1890,NA
Cephalophus.weynsi,1901,NA
Cephalophus.zebra,1838,NA
Cephalorhynchus.commersonii,1804,NA
Cephalorhynchus.eutropia,1846,NA
Cephalorhynchus.heavisidii,1828,NA
Cephalorhynchus.hectori,1881,NA
Ceratotherium.simum,1817,NA
Cercartetus.caudatus,1877,NA
Cercartetus.concinnus,1845,NA
Cercartetus.lepidus,1888,NA
Cercartetus.nanus,1818,NA
Cercocebus.agilis,1886,NA
Cercocebus.atys,1797,NA
Cercocebus.chrysogaster,1900,NA
Cercocebus.galeritus,1879,NA
Cercocebus.sanjei,1986,NA
Cercocebus.torquatus,1792,NA
Cercopithecus.ascanius,1799,NA
Cercopithecus.campbelli,1838,NA
Cercopithecus.cephus,1758,NA
Cercopithecus.diana,1758,NA
Cercopithecus.dryas,1932,NA
Cercopithecus.erythrogaster,1866,NA
Cercopithecus.erythrotis,1838,NA
Cercopithecus.hamlyni,1907,NA
Cercopithecus.lhoesti,1899,NA
Cercopithecus.mitis,1822,NA
Cercopithecus.mona,1775,NA
Cercopithecus.neglectus,1876,NA
Cercopithecus.nictitans,1766,NA
Cercopithecus.petaurista,1774,NA
Cercopithecus.pogonias,1833,NA
Cercopithecus.preussi,1898,NA
Cercopithecus.sclateri,1904,NA
Cercopithecus.solatus,1988,NA
Cerdocyon.thous,1766,NA
Cerradomys.andersoni,2004,NA
Cerradomys.maracajuensis,2002,NA
Cerradomys.marinhus,2003,NA
Cerradomys.scotti,2002,NA
Cerradomys.subflavus,1842,NA
Cervus.elaphus,1758,NA
Cervus.nippon,1838,NA
Chacodelphys.formosa,1930,NA
Chaetocauda.sichuanensis,1985,NA
Chaetodipus.arenarius,1894,NA
Chaetodipus.artus,1900,NA
Chaetodipus.baileyi,1894,NA
Chaetodipus.californicus,1889,NA
Chaetodipus.dalquesti,1976,NA
Chaetodipus.eremicus,1898,NA
Chaetodipus.fallax,1889,NA
Chaetodipus.formosus,1889,NA
Chaetodipus.goldmani,1900,NA
Chaetodipus.hispidus,1858,NA
Chaetodipus.intermedius,1889,NA
Chaetodipus.lineatus,1951,NA
Chaetodipus.nelsoni,1894,NA
Chaetodipus.penicillatus,1852,NA
Chaetodipus.pernix,1898,NA
Chaetodipus.rudinoris,1903,NA
Chaetodipus.spinatus,1889,NA
Chaetomys.subspinosus,1818,NA
Chaetophractus.nationi,1894,NA
Chaetophractus.vellerosus,1865,NA
Chaetophractus.villosus,1804,NA
Chalinolobus.dwyeri,1966,NA
Chalinolobus.gouldii,1841,NA
Chalinolobus.morio,1841,NA
Chalinolobus.nigrogriseus,1856,NA
Chalinolobus.picatus,1852,NA
Cheiromeles.torquatus,1824,NA
Chelemys.delfini,1905,NA
Chelemys.macronyx,1894,NA
Chelemys.megalonyx,1845,NA
Chibchanomys.orcesi,1997,NA
Chibchanomys.trichotis,1897,NA
Chilomys.instans,1895,NA
Chilonatalus.tumidifrons,1903,NA
Chimarrogale.hantu,1958,NA
Chimarrogale.himalayica,1842,NA
Chimarrogale.phaeura,1898,NA
Chimarrogale.styani,1899,NA
Chimarrogale.sumatrana,1921,NA
Chinchilla.chinchilla,1829,NA
Chinchilla.lanigera,1782,NA
Chinchillula.sahamae,1898,NA
Chionomys.gud,1909,NA
Chionomys.nivalis,1842,NA
Chionomys.roberti,1906,NA
Chiroderma.doriae,1891,NA
Chiroderma.improvisum,1976,NA
Chiroderma.salvini,1878,NA
Chiroderma.trinitatum,1958,NA
Chiroderma.villosum,1860,NA
Chiromyscus.chiropus,1891,NA
Chironax.melanocephalus,1825,NA
Chironectes.minimus,1780,NA
Chiropodomys.gliroides,1856,NA
Chiropotes.albinasus,1848,NA
Chiropotes.chiropotes,1811,NA
Chiropotes.satanas,1807,NA
Chiropotes.utahickae,1985,NA
Chlamyphorus.truncatus,1825,NA
Chlorocebus.aethiops,1758,NA
Chlorocebus.cynosuros,1786,NA
Chlorocebus.djamdjamensis,1902,NA
Chlorocebus.pygerythrus,1821,NA
Chlorocebus.sabaeus,1766,NA
Chlorocebus.tantalus,1841,NA
Chlorotalpa.duthieae,1907,NA
Chlorotalpa.sclateri,1907,NA
Chodsigoa.caovansunga,2003,NA
Chodsigoa.hypsibia,1899,NA
Chodsigoa.lamula,1912,NA
Chodsigoa.parca,1923,NA
Chodsigoa.parva,1923,NA
Chodsigoa.salenskii,1907,NA
Chodsigoa.smithii,1911,NA
Chodsigoa.sodalis,1913,NA
Choeroniscus.godmani,1903,NA
Choeroniscus.minor,1868,NA
Choeroniscus.periosus,1966,NA
Choeronycteris.mexicana,1844,NA
Choeropsis.liberiensis,1849,NA
Choloepus.didactylus,1758,NA
Choloepus.hoffmanni,1858,NA
Chrotogale.owstoni,1912,NA
Chrotopterus.auritus,1856,NA
Chrysochloris.asiatica,1758,NA
Chrysochloris.stuhlmanni,1894,NA
Chrysochloris.visagiei,1950,NA
Chrysocyon.brachyurus,1815,NA
Chrysospalax.trevelyani,1875,NA
Chrysospalax.villosus,1833,NA
Cistugo.lesueuri,1919,NA
Cistugo.seabrae,1912,NA
Civettictis.civetta,1776,NA
Cloeotis.percivali,1901,NA
Clyomys.bishopi,1981,NA
Clyomys.laticeps,1909,NA
Coelops.frithii,1848,NA
Coelops.hirsutus,1911,NA
Coelops.robinsoni,1908,NA
Coendou.bicolor,1844,NA
