species,description_year,extinction_year
Cottus.caeruleomentum,2000,NA
Cottus.carolinae,1861,NA
Cottus.chattahoochee,2007,NA
Cottus.cognatus,1836,NA
Cottus.confusus,1963,NA
Cottus.extensus,1963,NA
Cottus.girardi,1961,NA
Cottus.greenei,1898,NA
Cottus.gulosus,1854,NA
Cottus.hubbsi,1949,NA
Cottus.hypselurus,1985,NA
Cottus.klamathensis,1898,NA
Cottus.leiopomus,1894,NA
Cottus.marginatus,1881,NA
Cottus.paulus,2000,NA
Cottus.perplexus,1894,NA
Cottus.pitensis,1963,NA
Cottus.princeps,1898,NA
Cottus.rhotheus,1882,NA
Cottus.ricei,1876,NA
Cottus.tallapoosae,2007,NA
Cottus.tenuis,1898,NA
Couesius.plumbeus,1850,NA
Craterocephalus.dalhousiensis,1974,NA
Craterocephalus.eyresii,1883,NA
Craterocephalus.honoriae,1912,NA
Craterocephalus.marianae,1987,NA
Craterocephalus.marjoriae,1948,NA
Crenichthys.nevadae,1932,NA
Cryptoheros.chetumalensis,2007,NA
Cryptoheros.spilurus,1862,NA
Crystallaria.asprella,1878,NA
Crystallaria.cincotta,2008,NA
Ctenogobius.boleosoma,1882,NA
Ctenogobius.claytonii,1902,NA
Ctenogobius.sagittula,1861,NA
Ctenogobius.shufeldti,1887,NA
Ctenogobius.stigmaturus,1882,NA
Ctenopharyngodon.idella,1844,NA
Cualac.tessellatus,1956,NA
Culaea.inconstans,1840,NA
Cycleptus.elongatus,1817,NA
Cycleptus.meridionalis,1999,NA
Cyclopsetta.panamensis,1876,NA
Cymatogaster.aggregata,1854,NA
Cynoglossus.bilineatus,1802,NA
Cynoscion.arenarius,1930,NA
Cynoscion.nebulosus,1830,NA
Cynoscion.nothus,1848,NA
Cynoscion.regalis,1801,NA
Cynoscion.reticulatus,1864,NA
Cynoscion.squamipinnis,1867,NA
Cynoscion.xanthulus,1882,NA
Cyprinella.analostana,1859,NA
Cyprinella.caerulea,1877,NA
Cyprinella.callisema,1877,NA
Cyprinella.callistia,1877,NA
Cyprinella.callitaenia,1956,NA
Cyprinella.camura,1884,NA
Cyprinella.chloristia,1878,NA
Cyprinella.formosa,1856,NA
Cyprinella.galactura,1868,NA
Cyprinella.gibbsi,1971,NA
Cyprinella.labrosa,1870,NA
Cyprinella.leedsi,1942,NA
Cyprinella.lepida,1856,NA
Cyprinella.lutrensis,1853,NA
Cyprinella.monacha,1868,NA
Cyprinella.nivea,1870,NA
Cyprinella.ornata,1856,NA
Cyprinella.panarcys,1978,NA
Cyprinella.proserpina,1856,NA
Cyprinella.pyrrhomelas,1870,NA
Cyprinella.spiloptera,1867,NA
Cyprinella.stigmatura,1877,NA
Cyprinella.trichroistia,1878,NA
Cyprinella.venusta,1856,NA
Cyprinella.whipplei,1856,NA
Cyprinella.xaenura,1877,NA
Cyprinella.xanthicara,1969,NA
Cyprinodon.albivelis,2002,NA
Cyprinodon.arcuatus,2002,NA
Cyprinodon.artifrons,1936,NA
Cyprinodon.atrorus,1968,NA
Cyprinodon.beltrani,1949,NA
Cyprinodon.bifasciatus,1968,NA
Cyprinodon.bobmilleri,1999,NA
Cyprinodon.bovinus,1853,NA
Cyprinodon.diabolis,1930,NA
Cyprinodon.elegans,1853,NA
Cyprinodon.eremus,1987,NA
Cyprinodon.esconditus,2002,NA
Cyprinodon.eximius,1859,NA
Cyprinodon.hubbsi,1936,NA
Cyprinodon.julimes,2009,NA
Cyprinodon.labiosus,1981,NA
Cyprinodon.macularius,1853,NA
Cyprinodon.maya,1981,NA
Cyprinodon.meeki,1976,NA
Cyprinodon.pecosensis,1978,NA
Cyprinodon.pisteri,2002,NA
Cyprinodon.radiosus,1948,NA
Cyprinodon.riverendi,1860,NA
Cyprinodon.rubrofluviatilis,1916,NA
Cyprinodon.salvadori,2002,NA
Cyprinodon.simus,1981,NA
Cyprinodon.suavium,2005,NA
Cyprinodon.tularosa,1975,NA
Cyprinodon.verecundus,1984,NA
Dactylopterus.volitans,1758,NA
Dallia.delicatissima,1881,NA
Dallia.pectoralis,1880,NA
Dasyatis.americana,1928,NA
Dasyatis.centroura,1815,NA
Dasyatis.hastata,1842,NA
Dasyatis.sabina,1824,NA
Deltistes.luxatus,1879,NA
Diapterus.auratus,1842,NA
Dionda.argentosa,1856,NA
Dionda.diaboli,1957,NA
Dionda.episcopa,1856,NA
Dionda.mandibularis,1977,NA
Dionda.melanops,1856,NA
Dionda.nigrotaeniata,1880,NA
Dionda.serena,1856,NA
Diplectrum.radiale,1824,NA
Diplodus.holbrookii,1878,NA
Dormitator.latifrons,1844,NA
Dormitator.maculatus,1792,NA
Dorosoma.anale,1904,NA
Dorosoma.cepedianum,1818,NA
Dorosoma.chavesi,1907,NA
Dorosoma.petenense,1867,NA
Dorosoma.smithi,1941,NA
Echeneis.naucrates,1758,NA
Elassoma.alabamae,1993,NA
Elassoma.boehlkei,1987,NA
Elassoma.evergladei,1884,NA
Elassoma.gilberti,2009,NA
Elassoma.okatie,1987,NA
Elassoma.okefenokee,1956,NA
Elassoma.zonatum,1877,NA
Eleginus.gracilis,1810,NA
Eleginus.nawaga,1770,NA
Eleotris.amblyopsis,1871,NA
Eleotris.fusca,1801,NA
Eleotris.perniger,1871,NA
Eleotris.picta,1863,NA
